age,income,credit_score,education,employment_status,years_employed,account_balance,num_credit_cards,debt_ratio,marital_status,state,customer_since
24.0,20000.0,585.0,Some College,Full-time,0.0,10530.0,1.0,0.401,Single,Other,2024-10-07 12:53:24.213453
54.0,78563.0,745.0,Some College,Full-time,26.6,59779.0,3.0,0.272,Divorced,PA,2024-07-16 12:53:24.213453
62.0,79205.0,744.0,Bachelor,Full-time,29.6,31135.0,2.0,0.323,Single,FL,2024-08-14 12:53:24.213453
41.0,45080.0,591.0,Bachelor,Full-time,11.2,,2.0,0.343,Single,Other,2023-01-09 12:53:24.213453
57.0,105912.0,769.0,High School,Full-time,22.3,,6.0,0.149,Married,Other,2023-11-18 12:53:24.213453
47.0,66484.0,746.0,Some College,Full-time,21.6,41022.0,2.0,0.271,Divorced,OH,2022-10-18 12:53:24.213453
32.0,56198.0,676.0,High School,Full-time,8.3,8836.0,3.0,0.315,Divorced,NC,2022-07-18 12:53:24.213453
47.0,72796.0,739.0,High School,Full-time,19.5,51459.0,4.0,0.225,Married,Other,2023-11-21 12:53:24.213453
65.0,107656.0,836.0,Bachelor,Part-time,37.2,80049.0,5.0,,Married,Other,2022-08-18 12:53:24.213453
41.0,65652.0,687.0,High School,Full-time,16.5,,2.0,0.299,Married,CA,2023-09-04 12:53:24.213453
65.0,81255.0,,Some College,Retired,0.0,14552.0,6.0,0.225,Married,FL,2023-08-19 12:53:24.213453
18.0,44944.0,576.0,High School,Part-time,0.0,16365.0,2.0,0.429,Single,Other,2023-03-01 12:53:24.213453
54.0,76594.0,725.0,Master,Full-time,25.5,18770.0,5.0,0.264,Divorced,Other,2023-01-16 12:53:24.213453
43.0,44151.0,688.0,Bachelor,Full-time,13.6,19631.0,2.0,0.312,Married,Other,2022-02-27 12:53:24.213453
38.0,53578.0,700.0,High School,Full-time,12.3,11818.0,3.0,0.272,Married,NY,2023-10-24 12:53:24.213453
43.0,90011.0,711.0,Bachelor,Full-time,16.3,55607.0,3.0,0.209,Married,Other,2023-02-14 12:53:24.213453
18.0,42753.0,579.0,Bachelor,Full-time,0.0,,1.0,0.388,Single,Other,2023-07-12 12:53:24.213453
39.0,56270.0,669.0,Master,Full-time,13.7,17528.0,2.0,0.267,Married,NY,2024-07-21 12:53:24.213453
47.0,68261.0,723.0,High School,Full-time,21.2,20224.0,2.0,0.252,Married,Other,2024-04-16 12:53:24.213453
64.0,94175.0,739.0,Master,Full-time,35.0,26591.0,5.0,0.265,Single,Other,2022-09-14 12:53:24.213453
34.0,85151.0,,Master,Part-time,13.9,29995.0,3.0,0.38,Single,GA,2022-02-26 12:53:24.213453
30.0,53729.0,,Master,Full-time,5.8,7557.0,2.0,0.343,Married,Other,2022-04-29 12:53:24.213453
34.0,60451.0,622.0,Bachelor,Full-time,7.7,27676.0,2.0,0.283,Married,Other,2023-10-11 12:53:24.213453
56.0,102454.0,751.0,Bachelor,Full-time,27.7,26177.0,5.0,,Married,Other,2022-06-01 12:53:24.213453
47.0,77082.0,710.0,Some College,Full-time,18.4,40358.0,5.0,0.205,Married,Other,2024-06-14 12:53:24.213453
34.0,,635.0,Bachelor,Full-time,12.6,27405.0,2.0,0.323,Single,NC,2022-03-04 12:53:24.213453
50.0,75055.0,765.0,Bachelor,Full-time,,40901.0,,0.231,Single,PA,2023-09-25 12:53:24.213453
43.0,66426.0,701.0,Bachelor,Full-time,15.7,29862.0,4.0,0.291,Divorced,Other,2023-12-27 12:53:24.213453
57.0,87942.0,764.0,Some College,Full-time,27.1,36582.0,6.0,0.249,Divorced,NC,2024-07-06 12:53:24.213453
31.0,60414.0,668.0,Bachelor,Full-time,8.6,36106.0,3.0,0.259,Single,FL,2023-07-09 12:53:24.213453
37.0,59279.0,632.0,Bachelor,Full-time,11.7,26855.0,3.0,0.318,Married,NC,2024-12-13 12:53:24.213453
36.0,67990.0,703.0,High School,Full-time,9.9,30495.0,4.0,0.249,Married,TX,2022-03-05 12:53:24.213453
20.0,31789.0,586.0,Bachelor,Full-time,1.7,,1.0,0.421,Divorced,Other,2022-10-04 12:53:24.213453
46.0,73180.0,727.0,Bachelor,Full-time,17.5,,5.0,0.212,Married,NY,2024-12-08 12:53:24.213453
46.0,42027.0,644.0,Bachelor,Unemployed,0.0,31670.0,2.0,,Single,FL,2024-12-19 12:53:24.213453
42.0,79745.0,655.0,Some College,Full-time,17.3,13395.0,4.0,0.269,Married,Other,2022-03-20 12:53:24.213453
38.0,65197.0,700.0,Some College,Full-time,9.5,35674.0,3.0,0.228,Married,Other,2024-07-30 12:53:24.213453
21.0,49470.0,620.0,Master,Full-time,0.2,10680.0,1.0,0.382,Single,Other,2022-07-29 12:53:24.213453
36.0,20000.0,597.0,Some College,Full-time,9.1,,1.0,0.433,Married,Other,2024-02-07 12:53:24.213453
37.0,,671.0,Bachelor,Unemployed,0.0,19723.0,4.0,,Single,Other,2023-09-12 12:53:24.213453
30.0,45906.0,666.0,Some College,Full-time,4.5,13721.0,1.0,0.313,Divorced,Other,2023-06-10 12:53:24.213453
40.0,79623.0,660.0,Bachelor,Retired,0.0,,3.0,0.264,Single,Other,2023-04-06 12:53:24.213453
48.0,59401.0,749.0,Some College,Full-time,23.0,32977.0,2.0,0.259,Divorced,Other,2024-12-24 12:53:24.213453
70.0,117192.0,796.0,Bachelor,Retired,0.0,56208.0,6.0,,Married,TX,2023-01-29 12:53:24.213453
45.0,54699.0,705.0,Some College,Full-time,18.9,41670.0,2.0,0.344,Married,Other,2022-12-06 12:53:24.213453
46.0,62643.0,687.0,High School,Part-time,18.7,33868.0,2.0,0.335,Divorced,PA,2024-10-08 12:53:24.213453
41.0,93210.0,730.0,Some College,Full-time,14.0,15798.0,5.0,,Divorced,MI,2022-09-14 12:53:24.213453
18.0,27140.0,561.0,High School,Full-time,0.0,16545.0,1.0,,Single,TX,2022-02-09 12:53:24.213453
42.0,69261.0,686.0,PhD,Full-time,14.6,17269.0,3.0,0.253,Single,MI,2022-03-19 12:53:24.213453
43.0,80551.0,,Master,Full-time,14.7,33406.0,3.0,0.281,Married,Other,2022-08-22 12:53:24.213453
79.0,128935.0,832.0,Some College,Retired,0.0,26287.0,8.0,,Married,Other,2024-10-15 12:53:24.213453
39.0,63756.0,699.0,Bachelor,Full-time,12.0,44180.0,3.0,,Married,Other,2024-07-12 12:53:24.213453
47.0,78974.0,701.0,Some College,Full-time,18.1,19690.0,4.0,0.28,Married,Other,2022-07-06 12:53:24.213453
41.0,100551.0,713.0,Bachelor,Full-time,12.3,27447.0,4.0,,Single,IL,2024-06-03 12:53:24.213453
24.0,38136.0,576.0,Bachelor,Full-time,0.6,24398.0,2.0,0.426,Single,Other,2022-02-25 12:53:24.213453
59.0,94516.0,691.0,Master,Retired,0.0,28958.0,4.0,,Married,GA,2023-03-27 12:53:24.213453
53.0,98260.0,748.0,Some College,Full-time,25.3,64353.0,4.0,,Single,Other,2024-03-01 12:53:24.213453
54.0,100583.0,831.0,Bachelor,Full-time,27.5,36682.0,8.0,0.126,Married,FL,2024-03-14 12:53:24.213453
28.0,,666.0,Some College,Part-time,5.9,19314.0,3.0,0.258,Married,NC,2022-10-21 12:53:24.213453
63.0,107081.0,792.0,PhD,Full-time,32.4,16456.0,6.0,0.208,Married,Other,2023-09-10 12:53:24.213453
21.0,20000.0,571.0,High School,Full-time,,10904.0,,0.464,Single,Other,2024-09-14 12:53:24.213453
51.0,104001.0,754.0,Bachelor,Full-time,24.2,74724.0,4.0,0.189,Married,Other,2023-05-15 12:53:24.213453
75.0,98305.0,836.0,Bachelor,Part-time,40.0,40105.0,5.0,0.152,Married,Other,2022-10-11 12:53:24.213453
27.0,48040.0,590.0,Bachelor,Full-time,4.3,34598.0,2.0,0.351,Married,TX,2024-02-09 12:53:24.213453
34.0,42686.0,674.0,High School,Unemployed,0.0,11060.0,2.0,,Married,Other,2022-05-28 12:53:24.213453
43.0,66538.0,713.0,Master,Full-time,14.8,30914.0,4.0,0.239,Married,Other,2023-08-03 12:53:24.213453
34.0,58931.0,678.0,High School,Full-time,6.7,17541.0,3.0,0.263,Single,CA,2024-07-29 12:53:24.213453
19.0,36320.0,,Bachelor,Unemployed,0.0,24191.0,2.0,0.428,Single,CA,2024-06-18 12:53:24.213453
43.0,73829.0,699.0,High School,Full-time,18.0,23086.0,4.0,0.29,Divorced,CA,2024-04-17 12:53:24.213453
26.0,66206.0,660.0,Some College,Full-time,4.4,27657.0,2.0,0.338,Single,Other,2024-04-30 12:53:24.213453
49.0,83303.0,744.0,Bachelor,Full-time,21.3,46162.0,4.0,0.286,Divorced,TX,2023-08-17 12:53:24.213453
28.0,,611.0,Some College,Unemployed,0.0,,2.0,0.338,Married,GA,2023-03-20 12:53:24.213453
65.0,,789.0,High School,Retired,0.0,81584.0,7.0,0.148,Married,IL,2024-06-28 12:53:24.213453
30.0,65842.0,655.0,High School,Full-time,8.3,10144.0,3.0,0.291,Single,Other,2024-10-19 12:53:24.213453
37.0,40086.0,694.0,Some College,Full-time,11.9,22400.0,2.0,0.352,Married,Other,2022-01-31 12:53:24.213453
54.0,92961.0,714.0,Bachelor,Full-time,24.4,35297.0,5.0,0.199,Divorced,Other,2022-07-16 12:53:24.213453
24.0,49518.0,573.0,Master,Full-time,2.8,,2.0,0.41,Single,MI,2022-02-15 12:53:24.213453
45.0,66037.0,702.0,High School,Full-time,19.2,28147.0,4.0,,Single,GA,2023-11-18 12:53:24.213453
62.0,116636.0,800.0,Some College,Full-time,32.7,24170.0,6.0,,Married,PA,2022-05-22 12:53:24.213453
18.0,,583.0,High School,Part-time,0.0,,1.0,0.361,Single,Other,2023-09-16 12:53:24.213453
45.0,72384.0,711.0,High School,Unemployed,0.0,19113.0,4.0,0.246,Married,NY,2023-06-21 12:53:24.213453
46.0,69404.0,697.0,Bachelor,Full-time,24.0,13416.0,3.0,0.335,Married,FL,2023-12-02 12:53:24.213453
54.0,84234.0,787.0,Bachelor,Full-time,28.0,44576.0,5.0,0.217,Divorced,Other,2024-12-29 12:53:24.213453
23.0,21056.0,538.0,High School,Full-time,2.2,,1.0,0.493,Single,IL,2024-02-28 12:53:24.213453
22.0,20000.0,557.0,High School,Full-time,0.2,11814.0,1.0,0.391,Single,Other,2023-06-11 12:53:24.213453
50.0,101918.0,745.0,High School,Full-time,24.4,34015.0,5.0,,Married,NY,2024-09-21 12:53:24.213453
46.0,59296.0,644.0,Bachelor,Full-time,20.2,40758.0,1.0,0.31,Married,Other,2022-11-07 12:53:24.213453
46.0,57129.0,686.0,PhD,Full-time,19.3,21340.0,2.0,0.315,Married,CA,2023-01-16 12:53:24.213453
47.0,41199.0,728.0,High School,Full-time,19.4,26112.0,3.0,0.333,Divorced,PA,2022-12-30 12:53:24.213453
32.0,41416.0,634.0,High School,Full-time,7.8,24757.0,2.0,0.344,Married,IL,2024-03-01 12:53:24.213453
45.0,,689.0,Master,Full-time,12.1,15013.0,3.0,0.309,Single,Other,2024-01-28 12:53:24.213453
46.0,96630.0,693.0,Master,Full-time,19.6,29664.0,3.0,0.176,Divorced,Other,2024-05-02 12:53:24.213453
31.0,64647.0,635.0,Some College,Full-time,6.2,26459.0,3.0,0.316,Single,GA,2022-02-13 12:53:24.213453
70.0,97678.0,,High School,Full-time,40.0,72915.0,7.0,,Single,Other,2025-01-14 12:53:24.213453
49.0,110287.0,744.0,High School,Full-time,21.6,,5.0,,Married,Other,2023-01-07 12:53:24.213453
24.0,53726.0,660.0,Bachelor,Full-time,0.0,23011.0,2.0,0.316,Married,Other,2022-08-17 12:53:24.213453
52.0,76128.0,745.0,Some College,Full-time,23.9,32928.0,4.0,,Married,Other,2023-12-09 12:53:24.213453
27.0,20000.0,,High School,Full-time,1.9,6286.0,1.0,0.414,Single,CA,2023-11-19 12:53:24.213453
54.0,118364.0,784.0,Bachelor,Full-time,26.5,79654.0,7.0,0.132,Married,Other,2022-04-18 12:53:24.213453
59.0,70656.0,,High School,Full-time,30.2,21564.0,2.0,0.216,Married,MI,2022-05-22 12:53:24.213453
30.0,23319.0,644.0,Bachelor,Full-time,8.3,10293.0,1.0,0.361,Single,CA,2023-07-19 12:53:24.213453
56.0,,814.0,Some College,Retired,0.0,48064.0,4.0,,Single,FL,2024-10-18 12:53:24.213453
48.0,111596.0,721.0,High School,Full-time,,60903.0,,0.146,Married,Other,2024-03-30 12:53:24.213453
54.0,104764.0,738.0,Bachelor,Retired,0.0,45030.0,5.0,,Divorced,Other,2023-07-14 12:53:24.213453
70.0,116459.0,785.0,Some College,Retired,0.0,31410.0,6.0,0.129,Married,Other,2022-05-10 12:53:24.213453
38.0,68921.0,672.0,PhD,Full-time,13.8,45722.0,3.0,0.27,Single,Other,2024-09-29 12:53:24.213453
31.0,62301.0,665.0,Bachelor,Part-time,8.2,6865.0,3.0,0.301,Married,Other,2024-11-10 12:53:24.213453
29.0,57884.0,671.0,Some College,Full-time,5.6,20245.0,3.0,0.29,Married,CA,2022-06-04 12:53:24.213453
30.0,52218.0,636.0,Bachelor,Full-time,7.2,19946.0,3.0,0.327,Divorced,NY,2024-11-10 12:53:24.213453
41.0,66063.0,675.0,Some College,Full-time,18.4,33202.0,2.0,0.309,Single,CA,2023-07-03 12:53:24.213453
47.0,72561.0,714.0,Master,Full-time,19.4,21433.0,4.0,0.249,Single,CA,2022-02-22 12:53:24.213453
46.0,,670.0,Some College,Full-time,19.5,30305.0,3.0,0.293,Married,FL,2022-07-11 12:53:24.213453
54.0,79790.0,800.0,Bachelor,Full-time,23.4,33591.0,1.0,0.234,Married,NC,2023-10-21 12:53:24.213453
42.0,40606.0,614.0,High School,Full-time,14.3,,1.0,0.333,Married,Other,2023-06-20 12:53:24.213453
64.0,97525.0,791.0,Some College,Full-time,33.8,53526.0,3.0,0.147,Married,Other,2024-06-30 12:53:24.213453
38.0,45171.0,716.0,Bachelor,Retired,0.0,21619.0,2.0,,Single,Other,2024-12-10 12:53:24.213453
83.0,110946.0,850.0,Bachelor,Part-time,40.0,62694.0,7.0,0.164,Married,Other,2023-05-28 12:53:24.213453
51.0,82198.0,725.0,High School,Full-time,22.7,36618.0,4.0,0.231,Married,NC,2022-12-05 12:53:24.213453
29.0,67380.0,640.0,High School,Full-time,4.8,17826.0,3.0,0.292,Single,Other,2024-06-22 12:53:24.213453
26.0,55775.0,624.0,Bachelor,Full-time,2.1,13199.0,2.0,0.292,Married,GA,2022-08-21 12:53:24.213453
49.0,52942.0,737.0,Master,Full-time,22.2,24733.0,3.0,0.26,Married,FL,2023-11-01 12:53:24.213453
39.0,46656.0,593.0,High School,Full-time,10.6,11508.0,2.0,0.389,Married,Other,2022-06-21 12:53:24.213453
53.0,96612.0,798.0,Some College,Full-time,27.4,13487.0,6.0,,Married,PA,2024-10-30 12:53:24.213453
49.0,61763.0,662.0,Some College,Full-time,20.3,43036.0,2.0,0.313,Married,NC,2023-10-07 12:53:24.213453
41.0,61131.0,672.0,Master,Full-time,16.6,,2.0,0.349,Single,NY,2022-05-17 12:53:24.213453
29.0,54751.0,625.0,High School,Retired,0.0,13432.0,2.0,0.326,Married,Other,2023-07-13 12:53:24.213453
19.0,20000.0,591.0,High School,Full-time,0.0,6304.0,1.0,0.403,Married,Other,2023-08-29 12:53:24.213453
35.0,57081.0,610.0,Bachelor,Full-time,11.7,15305.0,2.0,0.296,Married,CA,2024-09-25 12:53:24.213453
55.0,65490.0,740.0,High School,Full-time,27.2,30037.0,4.0,0.258,Single,Other,2023-12-19 12:53:24.213453
45.0,61479.0,753.0,Some College,Full-time,16.4,16057.0,3.0,0.271,Divorced,CA,2022-11-17 12:53:24.213453
23.0,,566.0,Some College,Part-time,1.3,12608.0,1.0,0.353,Single,IL,2024-04-14 12:53:24.213453
45.0,46605.0,683.0,Some College,Full-time,16.0,24378.0,2.0,0.274,Single,TX,2023-11-29 12:53:24.213453
48.0,81607.0,702.0,Some College,Full-time,20.3,16459.0,3.0,0.245,Married,Other,2023-02-19 12:53:24.213453
29.0,46205.0,642.0,Bachelor,Full-time,7.7,18666.0,2.0,,Married,CA,2025-01-11 12:53:24.213453
44.0,77287.0,706.0,High School,Full-time,19.2,14932.0,3.0,0.294,Married,Other,2024-01-01 12:53:24.213453
43.0,70859.0,677.0,Bachelor,Full-time,16.8,16841.0,3.0,0.238,Married,NY,2022-02-12 12:53:24.213453
25.0,60962.0,647.0,Bachelor,Full-time,0.5,11026.0,2.0,0.36,Single,TX,2024-09-16 12:53:24.213453
47.0,,767.0,Bachelor,Part-time,21.3,27415.0,5.0,0.225,Single,Other,2022-07-09 12:53:24.213453
50.0,71559.0,712.0,High School,Full-time,22.4,28624.0,4.0,0.255,Married,FL,2023-08-18 12:53:24.213453
58.0,91834.0,783.0,High School,Part-time,24.2,11753.0,3.0,,Married,FL,2022-02-07 12:53:24.213453
58.0,98149.0,729.0,Some College,Full-time,30.4,34393.0,6.0,,Married,FL,2022-04-12 12:53:24.213453
21.0,35233.0,566.0,Some College,Part-time,0.0,6307.0,1.0,0.389,Single,Other,2024-07-10 12:53:24.213453
28.0,45609.0,640.0,Some College,Full-time,7.2,34385.0,2.0,,Single,Other,2022-05-08 12:53:24.213453
50.0,67470.0,758.0,Bachelor,Full-time,20.2,37176.0,4.0,0.236,Married,CA,2022-04-27 12:53:24.213453
50.0,68056.0,725.0,High School,Full-time,16.0,29400.0,3.0,0.223,Married,FL,2022-05-11 12:53:24.213453
50.0,56961.0,694.0,High School,Full-time,23.0,31911.0,3.0,0.306,Married,OH,2022-11-07 12:53:24.213453
85.0,156744.0,850.0,Some College,Retired,0.0,50375.0,8.0,0.05,Married,NY,2024-07-01 12:53:24.213453
51.0,60842.0,672.0,Bachelor,Full-time,19.8,31622.0,3.0,0.274,Single,Other,2024-02-18 12:53:24.213453
59.0,81106.0,772.0,High School,Full-time,27.6,19654.0,4.0,0.185,Married,Other,2022-08-14 12:53:24.213453
56.0,76224.0,767.0,Bachelor,Full-time,32.7,27154.0,3.0,0.241,Single,Other,2023-02-25 12:53:24.213453
52.0,94424.0,733.0,Some College,Full-time,23.4,21488.0,6.0,0.201,Married,IL,2023-10-01 12:53:24.213453
37.0,54076.0,647.0,Master,Full-time,13.5,46152.0,2.0,0.31,Married,Other,2023-04-25 12:53:24.213453
53.0,101216.0,764.0,Master,Full-time,23.5,13994.0,5.0,0.159,Married,Other,2022-05-31 12:53:24.213453
30.0,37898.0,611.0,Some College,Full-time,2.2,,1.0,0.337,Married,Other,2022-12-28 12:53:24.213453
38.0,64185.0,,High School,Part-time,12.5,15871.0,3.0,0.326,Married,Other,2025-01-10 12:53:24.213453
35.0,42970.0,707.0,Some College,Full-time,9.9,26741.0,2.0,0.313,Married,Other,2022-12-14 12:53:24.213453
43.0,99677.0,717.0,High School,Full-time,16.0,33958.0,4.0,0.206,Single,Other,2023-12-06 12:53:24.213453
77.0,100686.0,817.0,Bachelor,Retired,0.0,26490.0,3.0,,Divorced,NY,2024-01-02 12:53:24.213453
18.0,34647.0,565.0,Bachelor,Part-time,0.0,17104.0,1.0,0.46,Single,Other,2023-12-24 12:53:24.213453
52.0,90507.0,765.0,Bachelor,Unemployed,0.0,75246.0,5.0,0.195,Married,TX,2024-11-12 12:53:24.213453
18.0,36207.0,581.0,Bachelor,Full-time,0.0,10791.0,1.0,0.371,Single,Other,2022-02-20 12:53:24.213453
35.0,52721.0,634.0,Some College,Full-time,11.4,27640.0,3.0,0.336,Married,Other,2023-03-05 12:53:24.213453
58.0,88053.0,798.0,High School,Full-time,24.9,48705.0,5.0,,Married,Other,2022-08-20 12:53:24.213453
43.0,68157.0,736.0,Bachelor,Full-time,12.7,17814.0,4.0,0.238,Single,GA,2023-05-11 12:53:24.213453
26.0,39795.0,596.0,Some College,Full-time,4.7,7324.0,1.0,0.396,Married,TX,2024-07-14 12:53:24.213453
31.0,63958.0,597.0,Bachelor,Full-time,8.2,,2.0,0.305,Single,CA,2022-12-06 12:53:24.213453
52.0,114158.0,796.0,Some College,Full-time,23.9,51240.0,6.0,0.184,Single,Other,2023-06-18 12:53:24.213453
31.0,,610.0,High School,Full-time,4.4,,2.0,0.336,Single,Other,2022-02-25 12:53:24.213453
